pickup_community_area,hour,demand,assigned_taxis,served_trips,unmet_trips
19,9,1.518,1,1.518,0.0
19,10,1.498,1,1.498,0.0
19,11,1.444,1,1.444,0.0
19,12,1.544,1,1.544,0.0
19,13,1.734,1,1.734,0.0
19,14,1.753,1,1.753,0.0
19,15,1.568,1,1.568,0.0
19,16,1.532,1,1.532,0.0
19,17,1.542,1,1.542,0.0
19,18,1.433,1,1.433,0.0
19,19,1.298,1,1.298,0.0
19,20,1.184,1,1.184,0.0
19,21,1.175,1,1.175,0.0
19,22,1.177,1,1.177,0.0
19,23,1.176,1,1.176,0.0
20,0,1.048,1,1.048,0.0
20,1,1.062,1,1.062,0.0
20,2,1.0,1,1.0,0.0
20,3,1.062,1,1.062,0.0
20,4,1.0,1,1.0,0.0
20,5,1.057,1,1.057,0.0
20,6,1.067,1,1.067,0.0
20,7,1.086,1,1.086,0.0
20,8,1.038,1,1.038,0.0
20,9,1.097,1,1.097,0.0
20,10,1.09,1,1.09,0.0
20,11,1.115,1,1.115,0.0
20,12,1.143,1,1.143,0.0
20,13,1.172,1,1.172,0.0
20,14,1.112,1,1.112,0.0
20,15,1.027,1,1.027,0.0
20,16,1.149,1,1.149,0.0
20,17,1.146,1,1.146,0.0
20,18,1.163,1,1.163,0.0
20,19,1.16,1,1.16,0.0
20,20,1.043,1,1.043,0.0
20,21,1.143,1,1.143,0.0
20,22,1.027,1,1.027,0.0
20,23,1.148,1,1.148,0.0
21,0,1.439,1,1.439,0.0
21,1,1.582,1,1.582,0.0
21,2,1.288,1,1.288,0.0
21,3,1.239,1,1.239,0.0
21,4,1.315,1,1.315,0.0
21,5,1.367,1,1.367,0.0
21,6,1.608,1,1.608,0.0
21,7,1.672,1,1.672,0.0
21,8,1.897,1,1.897,0.0
21,9,1.98,1,1.98,0.0
21,10,2.299,2,2.299,0.0
21,11,2.785,2,2.785,0.0
21,12,3.123,2,3.123,0.0
21,13,2.822,2,2.822,0.0
21,14,2.63,2,2.63,0.0
21,15,2.514,2,2.514,0.0
21,16,2.154,2,2.154,0.0
21,17,1.935,1,1.935,0.0
21,18,2.012,2,2.012,0.0
21,19,2.191,2,2.191,0.0
21,20,1.738,1,1.738,0.0
21,21,1.671,1,1.671,0.0
21,22,1.922,1,1.922,0.0
21,23,1.584,1,1.584,0.0
22,0,2.858,2,2.858,0.0
22,1,2.333,2,2.333,0.0
22,2,2.23,2,2.23,0.0
22,3,1.631,1,1.631,0.0
22,4,1.694,1,1.694,0.0
22,5,2.108,2,2.108,0.0
22,6,2.245,2,2.245,0.0
22,7,3.123,2,3.123,0.0
22,8,3.679,2,3.679,0.0
22,9,3.779,2,3.779,0.0
22,10,3.985,2,3.985,0.0
22,11,4.79,3,4.79,0.0
22,12,4.767,3,4.767,0.0
22,13,4.751,3,4.751,0.0
22,14,4.545,3,4.545,0.0
22,15,4.572,3,4.572,0.0
22,16,4.722,3,4.722,0.0
22,17,4.716,3,4.716,0.0
22,18,4.83,3,4.83,0.0
22,19,4.112,3,4.112,0.0
22,20,3.675,2,3.675,0.0
22,21,3.582,2,3.582,0.0
22,22,3.803,2,3.803,0.0
22,23,3.851,2,3.851,0.0
23,0,1.218,1,1.218,0.0
23,1,1.178,1,1.178,0.0
23,2,1.069,1,1.069,0.0
23,3,1.085,1,1.085,0.0
23,4,1.159,1,1.159,0.0
23,5,1.148,1,1.148,0.0
23,6,1.159,1,1.159,0.0
23,7,1.577,1,1.577,0.0
23,8,1.444,1,1.444,0.0
23,9,1.552,1,1.552,0.0
23,10,1.553,1,1.553,0.0
23,11,1.545,1,1.545,0.0
23,12,1.584,1,1.584,0.0
23,13,1.679,1,1.679,0.0
23,14,1.564,1,1.564,0.0
23,15,1.691,1,1.691,0.0
23,16,1.564,1,1.564,0.0
23,17,1.48,1,1.48,0.0
23,18,1.328,1,1.328,0.0
23,19,1.307,1,1.307,0.0
23,20,1.179,1,1.179,0.0
23,21,1.201,1,1.201,0.0
23,22,1.231,1,1.231,0.0
23,23,1.2,1,1.2,0.0
24,0,6.091,4,6.091,0.0
24,1,4.357,3,4.357,0.0
24,2,3.536,2,3.536,0.0
24,3,2.175,2,2.175,0.0
24,4,2.256,2,2.256,0.0
24,5,3.562,2,3.562,0.0
24,6,3.87,2,3.87,0.0
24,7,5.971,3,5.971,0.0
24,8,10.118,6,10.118,0.0
24,9,7.408,4,7.408,0.0
24,10,7.173,4,7.173,0.0
24,11,8.256,5,8.256,0.0
24,12,9.026,5,9.026,0.0
24,13,8.985,5,8.985,0.0
24,14,9.837,5,9.837,0.0
24,15,9.682,5,9.682,0.0
24,16,10.196,6,10.196,0.0
24,17,11.289,6,11.289,0.0
24,18,11.046,6,11.046,0.0
24,19,9.094,5,9.094,0.0
24,20,7.934,4,7.934,0.0
24,21,8.522,5,8.522,0.0
24,22,9.516,5,9.516,0.0
24,23,8.9,5,8.9,0.0
25,0,1.359,1,1.359,0.0
25,1,1.2,1,1.2,0.0
25,2,1.165,1,1.165,0.0
25,3,1.162,1,1.162,0.0
25,4,1.203,1,1.203,0.0
25,5,1.295,1,1.295,0.0
25,6,1.447,1,1.447,0.0
25,7,2.114,2,2.114,0.0
25,8,2.157,2,2.157,0.0
25,9,2.17,2,2.17,0.0
25,10,2.919,2,2.919,0.0
25,11,3.707,2,3.707,0.0
25,12,3.118,2,3.118,0.0
25,13,3.24,2,3.24,0.0
25,14,2.98,2,2.98,0.0
25,15,2.943,2,2.943,0.0
25,16,2.288,2,2.288,0.0
25,17,2.331,2,2.331,0.0
25,18,2.203,2,2.203,0.0
25,19,1.914,1,1.914,0.0
25,20,1.818,1,1.818,0.0
25,21,1.791,1,1.791,0.0
25,22,1.644,1,1.644,0.0
25,23,1.478,1,1.478,0.0
26,0,1.066,1,1.066,0.0
26,1,1.065,1,1.065,0.0
26,2,1.088,1,1.088,0.0
26,3,1.055,1,1.055,0.0
26,4,1.111,1,1.111,0.0
26,5,1.046,1,1.046,0.0
26,6,1.064,1,1.064,0.0
26,7,1.051,1,1.051,0.0
26,8,1.09,1,1.09,0.0
26,9,1.293,1,1.293,0.0
